player_name,minutes_played,season
Mahdi Camara,2665.0,18/19
Romain Faivre,1505.0,23/24
Romain Faivre,3287.0,21/22
Romain Faivre,3198.0,20/21
Romain Faivre,3417.0,19/20
Romain Faivre,4121.0,18/19
Romain Faivre,1716.0,17/18
Kamory Doumbia,1795.0,24/25
Kamory Doumbia,2058.0,23/24
Kamory Doumbia,1446.0,22/23
Kamory Doumbia,3181.0,21/22
Abdallah Sima,1589.0,24/25
Abdallah Sima,5330.0,23/24
Abdallah Sima,920.0,21/22
Abdallah Sima,4018.0,20/21
Ibrahim Salah,1416.0,23/24
Ibrahim Salah,2139.0,22/23
Mathias Pereira Lage,1269.0,22/23
Mathias Pereira Lage,1682.0,19/20
Mathias Pereira Lage,2981.0,17/18
Romain Del Castillo,1430.0,22/23
Romain Del Castillo,1207.0,21/22
Romain Del Castillo,2338.0,19/20
Romain Del Castillo,2130.0,18/19
Romain Del Castillo,3387.0,17/18
Romain Del Castillo,2610.0,16/17
Romain Del Castillo,3720.0,15/16
Mama Baldé,2160.0,24/25
Mama Baldé,935.0,23/24
Mama Baldé,2310.0,21/22
Mama Baldé,2262.0,20/21
Mama Baldé,2432.0,19/20
Mama Baldé,2953.0,18/19
Ludovic Ajorque,3060.0,19/20
Ludovic Ajorque,1871.0,18/19
Ludovic Ajorque,1913.0,16/17
Ludovic Ajorque,971.0,14/15
Lucas Chevalier,4110.0,24/25
Lucas Chevalier,4980.0,23/24
Lucas Chevalier,3870.0,22/23
Lucas Chevalier,2970.0,21/22
Lucas Chevalier,90.0,20/21
Lucas Chevalier,4050.0,19/20
Lucas Chevalier,4050.0,18/19
Vito Mannone,450.0,24/25
Vito Mannone,721.0,23/24
Vito Mannone,1787.0,22/23
Vito Mannone,180.0,21/22
Vito Mannone,810.0,20/21
Vito Mannone,1170.0,19/20
Vito Mannone,7200.0,18/19
Vito Mannone,3690.0,17/18
Vito Mannone,1200.0,16/17
Marc-Aurèle Caillard,720.0,23/24
Marc-Aurèle Caillard,480.0,22/23
Marc-Aurèle Caillard,721.0,20/21
Marc-Aurèle Caillard,1980.0,19/20
Marc-Aurèle Caillard,2461.0,18/19
Marc-Aurèle Caillard,0.0,14/15
Bafodé Diakité,4245.0,24/25
Bafodé Diakité,2770.0,23/24
Bafodé Diakité,3076.0,22/23
Bafodé Diakité,2244.0,21/22
Bafodé Diakité,2300.0,20/21
Bafodé Diakité,1728.0,19/20
Bafodé Diakité,3055.0,18/19
Alexsandro,3946.0,24/25
Alexsandro,3762.0,23/24
Samuel Umtiti,1147.0,23/24
Samuel Umtiti,2116.0,22/23
Samuel Umtiti,90.0,21/22
Samuel Umtiti,1808.0,18/19
Samuel Umtiti,4675.0,17/18
Samuel Umtiti,4456.0,16/17
Samuel Umtiti,3678.0,15/16
Samuel Umtiti,3748.0,14/15
Aïssa Mandi,2458.0,24/25
Aïssa Mandi,3186.0,23/24
Aïssa Mandi,4131.0,22/23
Aïssa Mandi,2329.0,21/22
Aïssa Mandi,3173.0,20/21
Aïssa Mandi,4029.0,19/20
Aïssa Mandi,5640.0,18/19
Aïssa Mandi,3835.0,17/18
Aïssa Mandi,3424.0,16/17
Aïssa Mandi,3400.0,15/16
Aïssa Mandi,3999.0,14/15
Gabriel Gudmundsson,3483.0,24/25
Gabriel Gudmundsson,3172.0,23/24
Gabriel Gudmundsson,1086.0,22/23
Gabriel Gudmundsson,1645.0,20/21
Gabriel Gudmundsson,704.0,19/20
Gabriel Gudmundsson,1028.0,18/19
Gabriel Gudmundsson,2681.0,17/18
Gabriel Gudmundsson,3414.0,16/17
Gabriel Gudmundsson,1624.0,14/15
Mitchel Bakker,708.0,23/24
Mitchel Bakker,3351.0,22/23
Mitchel Bakker,3013.0,21/22
Mitchel Bakker,2677.0,20/21
Mitchel Bakker,902.0,19/20
Mitchel Bakker,2781.0,18/19
Mitchel Bakker,4201.0,17/18
Mitchel Bakker,4348.0,16/17
Mitchel Bakker,2656.0,15/16
Ismaily,885.0,24/25
Ismaily,3687.0,23/24
Ismaily,1415.0,21/22
Ismaily,360.0,20/21
Ismaily,3054.0,19/20
Ismaily,3707.0,18/19
Ismaily,3649.0,17/18
Ismaily,4566.0,16/17
Ismaily,3150.0,15/16
Ismaily,799.0,14/15
Tiago Santos,1217.0,24/25
Tiago Santos,4783.0,23/24
Tiago Santos,2837.0,22/23
Tiago Santos,2493.0,21/22
Thomas Meunier,3166.0,24/25
Thomas Meunier,2453.0,23/24
Thomas Meunier,1517.0,22/23
Thomas Meunier,2355.0,21/22
Thomas Meunier,3081.0,20/21
Thomas Meunier,3150.0,18/19
Thomas Meunier,3235.0,17/18
Thomas Meunier,3625.0,16/17
Thomas Meunier,4348.0,15/16
Thomas Meunier,5134.0,14/15
Ngal'ayel Mukau,2153.0,24/25
Ngal'ayel Mukau,2466.0,23/24
Nabil Bentaleb,140.0,24/25
Nabil Bentaleb,3625.0,23/24
Nabil Bentaleb,3198.0,22/23
Nabil Bentaleb,1652.0,21/22
Nabil Bentaleb,1730.0,17/18
Nabil Bentaleb,4875.0,16/17
Nabil Bentaleb,923.0,15/16
Nabil Bentaleb,4208.0,14/15
Benjamin André,3923.0,24/25
Benjamin André,4825.0,23/24
Benjamin André,3587.0,20/21
Benjamin André,4636.0,18/19
Benjamin André,3326.0,16/17
Ayyoub Bouaddi,2222.0,24/25
Ayyoub Bouaddi,2254.0,23/24
Ayyoub Bouaddi,1129.0,22/23
André Gomes,689.0,23/24
André Gomes,1718.0,22/23
André Gomes,1922.0,20/21
André Gomes,1550.0,19/20
André Gomes,2121.0,18/19
André Gomes,1260.0,17/18
André Gomes,3524.0,16/17
André Gomes,3798.0,15/16
André Gomes,3048.0,14/15
Ethan Mbappé,311.0,24/25
Ethan Mbappé,4791.0,23/24
Ethan Mbappé,3171.0,22/23
Angel Gomes,1435.0,24/25
Angel Gomes,4146.0,23/24
Angel Gomes,3478.0,22/23
Angel Gomes,1559.0,21/22
Angel Gomes,1558.0,19/20
Angel Gomes,2186.0,18/19
Angel Gomes,1473.0,17/18
Angel Gomes,2501.0,16/17
Hákon Arnar Haraldsson,2493.0,24/25
Hákon Arnar Haraldsson,3065.0,23/24
Hákon Arnar Haraldsson,3958.0,22/23
Hákon Arnar Haraldsson,2046.0,21/22
Hákon Arnar Haraldsson,1791.0,20/21
Hákon Arnar Haraldsson,995.0,19/20
Hákon Arnar Haraldsson,240.0,18/19
Rémy Cabella,2186.0,24/25
Rémy Cabella,2949.0,23/24
Rémy Cabella,2533.0,20/21
Rémy Cabella,752.0,19/20
Rémy Cabella,2419.0,17/18
Rémy Cabella,1853.0,16/17
Rémy Cabella,3614.0,15/16
Rémy Cabella,2252.0,14/15
Osame Sahraoui,1832.0,24/25
Osame Sahraoui,2580.0,23/24
Osame Sahraoui,1521.0,22/23
Osame Sahraoui,3207.0,21/22
Osame Sahraoui,582.0,17/18
Edon Zhegrova,2243.0,24/25
Edon Zhegrova,3964.0,23/24
Edon Zhegrova,1702.0,22/23
Edon Zhegrova,1743.0,21/22
Edon Zhegrova,2093.0,20/21
Edon Zhegrova,1251.0,19/20
Edon Zhegrova,1778.0,18/19
Edon Zhegrova,886.0,17/18
Jonathan David,4305.0,24/25
Jonathan David,5341.0,23/24
Jonathan David,4015.0,22/23
Jonathan David,3939.0,21/22
Jonathan David,4979.0,20/21
Jonathan David,4728.0,19/20
Jonathan David,2927.0,18/19
Jonathan David,157.0,17/18
Matías Fernández-Pardo,1590.0,24/25
Matías Fernández-Pardo,2778.0,23/24
Matías Fernández-Pardo,2314.0,22/23
Chuba Akpom,2569.0,24/25
Chuba Akpom,1906.0,23/24
Chuba Akpom,3630.0,21/22
Chuba Akpom,2411.0,20/21
Chuba Akpom,2599.0,19/20
Chuba Akpom,2005.0,18/19
Chuba Akpom,1741.0,17/18
Chuba Akpom,563.0,16/17
Chuba Akpom,2436.0,15/16
Chuba Akpom,2135.0,14/15
Marcin Bulka,3780.0,24/25
Marcin Bulka,3420.0,23/24
Marcin Bulka,900.0,22/23
Marcin Bulka,585.0,21/22
Marcin Bulka,90.0,19/20
Marcin Bulka,726.0,18/19
Marcin Bulka,2190.0,17/18
Marcin Bulka,720.0,16/17
Maxime Dupé,630.0,24/25
Maxime Dupé,3870.0,20/21
Maxime Dupé,2160.0,16/17
Maxime Dupé,1380.0,15/16
Teddy Boulhendi,0.0,24/25
Teddy Boulhendi,90.0,22/23
Teddy Boulhendi,270.0,21/22
Teddy Boulhendi,360.0,20/21
Youssouf Ndayishimiye,2543.0,24/25
Youssouf Ndayishimiye,2179.0,23/24
Youssouf Ndayishimiye,5015.0,22/23
Youssouf Ndayishimiye,2493.0,21/22
Youssouf Ndayishimiye,2622.0,20/21
Youssouf Ndayishimiye,577.0,19/20
Moïse Bombito,3691.0,24/25
Moïse Bombito,3996.0,23/24
Moïse Bombito,2168.0,22/23
Mohamed Abdelmonem,1657.0,24/25
Mohamed Abdelmonem,7527.0,23/24
Mohamed Abdelmonem,6118.0,22/23
Mohamed Abdelmonem,5773.0,21/22
Mohamed Abdelmonem,4259.0,20/21
Mohamed Abdelmonem,1417.0,19/20
Mohamed Abdelmonem,0.0,18/19
Dante,2225.0,24/25
Dante,5490.0,22/23
Dante,1135.0,20/21
Dante,3317.0,18/19
Dante,5350.0,17/18
Dante,3960.0,16/17
Dante,2998.0,15/16
Amidou Doumbouya,2835.0,24/25
Amidou Doumbouya,399.0,23/24
Melvin Bard,2240.0,24/25
Melvin Bard,3909.0,22/23
Melvin Bard,3035.0,21/22
Melvin Bard,971.0,20/21
Melvin Bard,2968.0,19/20
Melvin Bard,2913.0,18/19
Melvin Bard,850.0,17/18
Ali Abdi,1877.0,24/25
Ali Abdi,4207.0,23/24
Ali Abdi,2990.0,22/23
Ali Abdi,3658.0,21/22
Ali Abdi,2636.0,20/21
Ali Abdi,1531.0,19/20
Ali Abdi,4684.0,18/19
Ali Abdi,4398.0,17/18
Ali Abdi,1813.0,16/17
Ali Abdi,90.0,15/16
Ali Abdi,1535.0,14/15
Jonathan Clauss,2682.0,24/25
Jonathan Clauss,4811.0,23/24
Jonathan Clauss,3542.0,22/23
Jonathan Clauss,3421.0,21/22
Jonathan Clauss,2780.0,20/21
Jonathan Clauss,1737.0,18/19
Jonathan Clauss,2428.0,17/18
Antoine Mendy,1202.0,24/25
Antoine Mendy,647.0,23/24
Antoine Mendy,1125.0,22/23
Pablo Rosario,2326.0,24/25
Pablo Rosario,2666.0,22/23
Pablo Rosario,2971.0,21/22
Pablo Rosario,3774.0,20/21
Pablo Rosario,4503.0,19/20
Pablo Rosario,3759.0,18/19
Pablo Rosario,2309.0,17/18
Pablo Rosario,3280.0,16/17
Pablo Rosario,3656.0,15/16
Baptiste Santamaria,1324.0,24/25
Baptiste Santamaria,3040.0,23/24
Baptiste Santamaria,2357.0,22/23
Baptiste Santamaria,4145.0,21/22
Baptiste Santamaria,2716.0,19/20
Baptiste Santamaria,2679.0,15/16
Baptiste Santamaria,2658.0,14/15
Hicham Boudaoui,2737.0,24/25
Hicham Boudaoui,1926.0,23/24
Hicham Boudaoui,3348.0,22/23
Hicham Boudaoui,1887.0,21/22
Hicham Boudaoui,2055.0,20/21
Hicham Boudaoui,1010.0,19/20
Hicham Boudaoui,3300.0,18/19
Hicham Boudaoui,361.0,17/18
Tanguy Ndombélé,1585.0,24/25
Tanguy Ndombélé,665.0,23/24
Tanguy Ndombélé,1266.0,22/23
Tanguy Ndombélé,2394.0,21/22
Tanguy Ndombélé,3340.0,20/21
Tanguy Ndombélé,1447.0,19/20
Tanguy Ndombélé,4111.0,18/19
Tanguy Ndombélé,4769.0,17/18
Morgan Sanson,0.0,24/25
Morgan Sanson,439.0,21/22
Morgan Sanson,2835.0,18/19
Morgan Sanson,5280.0,17/18
Morgan Sanson,653.0,15/16
Morgan Sanson,3203.0,14/15
Tom Louchet,1962.0,24/25
Tom Louchet,1360.0,22/23
Tom Louchet,464.0,19/20
Jérémie Boga,1167.0,24/25
Jérémie Boga,2550.0,23/24
Jérémie Boga,2154.0,21/22
Jérémie Boga,1940.0,20/21
Jérémie Boga,2740.0,19/20
Jérémie Boga,1482.0,16/17
Jérémie Boga,1317.0,15/16
Jérémie Boga,1834.0,14/15
Sofiane Diop,1964.0,24/25
Sofiane Diop,500.0,23/24
Sofiane Diop,2091.0,22/23
Sofiane Diop,3682.0,21/22
Sofiane Diop,1076.0,19/20
Sofiane Diop,3567.0,18/19
Sofiane Diop,701.0,17/18
Mohamed-Ali Cho,2057.0,24/25
Mohamed-Ali Cho,1756.0,23/24
Mohamed-Ali Cho,1009.0,22/23
Mohamed-Ali Cho,2320.0,21/22
Mohamed-Ali Cho,601.0,20/21
Badredine Bouanani,1929.0,24/25
Badredine Bouanani,628.0,23/24
Badredine Bouanani,1948.0,22/23
