player_name,season,injury,from_date,to_date,days_out,matches_missed
Aaron Ramsey,19/20,Adductor pain,"Oct 10, 2019","Oct 30, 2019",21 days,5
Andy Rinomhota,21/22,Knee injury,"Mar 19, 2022","Jun 30, 2022",104 days,9
Andy Rinomhota,21/22,Ankle injury,"Sep 1, 2021","Jan 7, 2022",129 days,25
Callum O'Dowda,24/25,unknown injury,"Mar 17, 2025",,12 days,-
Callum O'Dowda,24/25,unknown injury,"Oct 6, 2024","Oct 18, 2024",13 days,3
Callum O'Dowda,23/24,surgery,"Sep 1, 2023","Mar 1, 2024",183 days,38
Callum O'Dowda,20/21,Groin injury,"Sep 10, 2020","Oct 1, 2020",22 days,5
Callum O'Dowda,17/18,Ankle surgery,"Nov 25, 2017","Apr 6, 2018",133 days,27
Rubin Colwill,22/23,Hip problems,"Apr 8, 2023","Apr 28, 2023",21 days,5
Rubin Colwill,22/23,Hip flexor problems,"Sep 26, 2022","Nov 6, 2022",42 days,10
Will Alves,22/23,Cruciate ligament tear,"Dec 21, 2022","Sep 1, 2023",255 days,18
Yakou Méïté,23/24,muscular problems,"Aug 9, 2023","Aug 16, 2023",8 days,2
Yakou Méïté,22/23,unknown injury,"Apr 8, 2023","Apr 23, 2023",16 days,4
Yakou Méïté,22/23,unknown injury,"Mar 6, 2023","Mar 27, 2023",22 days,7
Yakou Méïté,22/23,Calf injury,"Aug 1, 2022","Sep 7, 2022",38 days,8
Yakou Méïté,21/22,Ankle injury,"Mar 22, 2022","May 5, 2022",45 days,7
Yakou Méïté,21/22,Cruciate ligament tear,"Jun 30, 2021","Jan 23, 2022",208 days,29
Yakou Méïté,20/21,Ankle injury,"Oct 28, 2020","Nov 8, 2020",12 days,3
Anwar El Ghazi,23/24,Ill,"Oct 30, 2023","Nov 5, 2023",7 days,2
Anwar El Ghazi,22/23,Ill,"Apr 3, 2023","Apr 6, 2023",4 days,1
Anwar El Ghazi,22/23,Muscle injury,"Feb 7, 2023","Mar 2, 2023",24 days,7
