player_name,date_of_birth/age,height,position
Amine Gouiri,Feb 16 2000 (25),181 m,Centre-Forward
Neal Maupay,Aug 14 1996 (28),171 m,Centre-Forward
Faris Moumbagna,Jul 1 2000 (24),185 m,Centre-Forward
Yehvann Diouf,Nov 16 1999 (25),190 m,Goalkeeper
Alexandre Olliero,Feb 15 1996 (29),193 m,Goalkeeper
Ludovic Butelle,Apr 3 1983 (42),188 m,Goalkeeper
Joseph Okumu,May 26 1997 (27),190 m,Centre-Back
Cédric Kipré,Dec 9 1996 (28),193 m,Centre-Back
Malcolm Jeng,Mar 9 2005 (20),190 m,Centre-Back
Abdoul Koné,Apr 22 2005 (19),192 m,Centre-Back
Sergio Akieme,Dec 16 1997 (27),175 m,Left-Back
Nhoa Sangui,Feb 27 2006 (19),178 m,Left-Back
Aurélio Buta,Feb 10 1997 (28),172 m,Right-Back
Hiroki Sekine,Aug 11 2002 (22),187 m,Right-Back
Gabriel Moscardo,Sep 28 2005 (19),185 m,Defensive Midfield
Mory Gbane,Dec 25 2000 (24),188 m,Defensive Midfield
Amadou Koné,May 14 2005 (19),,Defensive Midfield
Valentin Atangana,Aug 25 2005 (19),176 m,Central Midfield
Yaya Fofana,Jun 12 2004 (20),180 m,Central Midfield
Teddy Teuma,Sep 30 1993 (31),176 m,Central Midfield
John Patrick,Sep 24 2003 (21),192 m,Central Midfield
Reda Khadra,Jul 4 2001 (23),175 m,Attacking Midfield
Keito Nakamura,Jul 28 2000 (24),180 m,Left Winger
Mohamed Daramy,Jan 7 2002 (23),180 m,Left Winger
Mamadou Diakhon,Sep 22 2005 (19),180 m,Left Winger
Junya Ito,Mar 9 1993 (32),176 m,Right Winger
Oumar Diakité,Dec 20 2003 (21),185 m,Centre-Forward
Jordan,Apr 26 1996 (28),191 m,Centre-Forward
Brice Samba,Apr 25 1994 (30),187 m,Goalkeeper
Doğan Alemdar,Oct 29 2002 (22),192 m,Goalkeeper
Gauthier Gallon,Apr 23 1993 (31),187 m,Goalkeeper
Steve Mandanda,Mar 28 1985 (40),187 m,Goalkeeper
Geoffrey Lembet,Sep 23 1988 (36),186 m,Goalkeeper
Lilian Brassier,Nov 2 1999 (25),186 m,Centre-Back
Anthony Rouault,May 29 2001 (23),186 m,Centre-Back
Alidu Seidu,Jun 4 2000 (24),173 m,Centre-Back
Mikayil Faye,Jul 14 2004 (20),183 m,Centre-Back
Christopher Wooh,Sep 18 2001 (23),191 m,Centre-Back
Jérémy Jacquet,Jul 13 2005 (19),190 m,Centre-Back
Adrien Truffert,Nov 20 2001 (23),176 m,Left-Back
Mahamadou Nagida,Jun 28 2005 (19),176 m,Left-Back
Lorenz Assignon,Jun 22 2000 (24),181 m,Right-Back
Hans Hateboer,Jan 9 1994 (31),187 m,Right-Back
Azor Matusiwa,Apr 28 1998 (26),173 m,Defensive Midfield
Seko Fofana,May 7 1995 (29),185 m,Central Midfield
Ismaël Koné,Jun 16 2002 (22),188 m,Central Midfield
Jordan James,Jul 2 2004 (20),182 m,Central Midfield
Naouirou Ahamada,Mar 29 2002 (23),183 m,Central Midfield
Djaoui Cissé,Jan 31 2004 (21),188 m,Central Midfield
Ayanda Sishuba,Feb 2 2005 (20),169 m,Attacking Midfield
Kazeem Olaigbe,Jan 2 2003 (22),178 m,Left Winger
Ludovic Blas,Dec 31 1997 (27),180 m,Right Winger
Mousa Tamari,Jun 10 1997 (27),178 m,Right Winger
Carlos Andrés Gómez,Sep 12 2002 (22),171 m,Right Winger
Arnaud Kalimuendo,Jan 20 2002 (23),175 m,Centre-Forward
Kyogo Furuhashi,Jan 20 1995 (30),170 m,Centre-Forward
Mohamed Kader Meïté,Oct 11 2007 (17),,Centre-Forward
Wilson Samaké,Mar 30 2004 (21),182 m,Centre-Forward
Guillaume Restes,Mar 11 2005 (20),188 m,Goalkeeper
Kjetil Haug,Jun 12 1998 (26),187 m,Goalkeeper
Justin Lacombe,Apr 9 2003 (21),192 m,Goalkeeper
Charlie Cresswell,Aug 17 2002 (22),190 m,Centre-Back
Mark McKenzie,Feb 25 1999 (26),184 m,Centre-Back
Rasmus Nicolaisen,Mar 16 1997 (28),191 m,Centre-Back
Jaydee Canvot,Jul 29 2006 (18),188 m,Centre-Back
Ümit Akdağ,Oct 6 2003 (21),192 m,Centre-Back
