player_name,date_of_birth/age,height,position
Anton Stach,Nov 15 1998 (26),194 m,Defensive Midfield
Diadié Samassékou,Jan 11 1996 (29),177 m,Defensive Midfield
Tom Bischof,Jun 28 2005 (19),176 m,Central Midfield
Umut Tohumcu,Aug 11 2004 (20),175 m,Central Midfield
Grischa Prömel,Jan 9 1995 (30),184 m,Central Midfield
Dennis Geiger,Jun 10 1998 (26),173 m,Central Midfield
Finn Becker,Jun 8 2000 (24),177 m,Central Midfield
Florian Micheler,May 17 2005 (19),185 m,Central Midfield
Andrej Kramaric,Jun 19 1991 (33),177 m,Attacking Midfield
Bazoumana Touré,Mar 2 2006 (18),,Left Winger
Marius Bülter,Mar 29 1993 (31),188 m,Left Winger
Adam Hlozek,Jul 25 2002 (22),188 m,Second Striker
Gift Orban,Jul 17 2002 (22),178 m,Centre-Forward
Max Moerstedt,Jan 15 2006 (19),194 m,Centre-Forward
Haris Tabakovic,Jun 20 1994 (30),194 m,Centre-Forward
Erencan Yardımcı,Feb 4 2002 (23),188 m,Centre-Forward
Ihlas Bebou,Apr 23 1994 (30),185 m,Centre-Forward
David Mokwa,May 3 2004 (20),180 m,Centre-Forward
Michael Zetterer,Jul 12 1995 (29),187 m,Goalkeeper
Mio Backhaus,Apr 16 2004 (20),194 m,Goalkeeper
Markus Kolke,Aug 18 1990 (34),187 m,Goalkeeper
Marco Friedl,Mar 16 1998 (26),187 m,Centre-Back
Niklas Stark,Apr 14 1995 (29),190 m,Centre-Back
Milos Veljkovic,Sep 26 1995 (29),188 m,Centre-Back
Amos Pieper,Jan 17 1998 (27),192 m,Centre-Back
Julián Malatini,May 31 2001 (23),191 m,Centre-Back
Anthony Jung,Nov 3 1991 (33),186 m,Centre-Back
Derrick Köhn,Feb 4 1999 (26),180 m,Left-Back
Felix Agu,Sep 27 1999 (25),180 m,Left-Back
Issa Kaboré,May 12 2001 (23),180 m,Right-Back
Mitchell Weiser,Apr 21 1994 (30),177 m,Right-Back
Senne Lynen,Feb 19 1999 (26),185 m,Defensive Midfield
Skelly Alvero,May 4 2002 (22),202 m,Defensive Midfield
Jens Stage,Nov 8 1996 (28),187 m,Central Midfield
Leonardo Bittencourt,Dec 19 1993 (31),171 m,Central Midfield
Romano Schmid,Jan 27 2000 (25),168 m,Attacking Midfield
Leon Opitz,Apr 11 2005 (19),183 m,Attacking Midfield
Patrice Covic,Jun 25 2007 (17),,Attacking Midfield
Marco Grüll,Jul 6 1998 (26),182 m,Left Winger
Abdenego Nankishi,Jul 6 2002 (22),178 m,Left Winger
Justin Njinmah,Nov 15 2000 (24),185 m,Right Winger
Marvin Ducksch,Mar 7 1994 (30),188 m,Centre-Forward
André Silva,Nov 6 1995 (29),186 m,Centre-Forward
Keke Topp,Mar 25 2004 (20),192 m,Centre-Forward
Oliver Burke,Apr 7 1997 (27),188 m,Centre-Forward
Noah Atubolu,May 25 2002 (22),190 m,Goalkeeper
Florian Müller,Nov 13 1997 (27),190 m,Goalkeeper
Jannik Huth,Apr 15 1994 (30),185 m,Goalkeeper
Philipp Lienhart,Jul 11 1996 (28),189 m,Centre-Back
Matthias Ginter,Jan 19 1994 (31),189 m,Centre-Back
Max Rosenfelder,Feb 10 2003 (22),186 m,Centre-Back
Bruno Ogbus,Dec 17 2005 (19),185 m,Centre-Back
Manuel Gulde,Feb 12 1991 (34),184 m,Centre-Back
Christian Günter,Feb 28 1993 (31),184 m,Left-Back
Jordy Makengo,Aug 3 2001 (23),191 m,Left-Back
Kiliann Sildillia,May 16 2002 (22),186 m,Right-Back
Lukas Kübler,Aug 30 1992 (32),182 m,Right-Back
Nicolas Höfler,Mar 9 1990 (34),181 m,Defensive Midfield
Maximilian Eggestein,Dec 8 1996 (28),181 m,Central Midfield
Patrick Osterhage,Feb 1 2000 (25),186 m,Central Midfield
Johan Manzambi,Oct 14 2005 (19),182 m,Central Midfield
Merlin Röhl,Jul 5 2002 (22),192 m,Attacking Midfield
Daniel-Kofi Kyereh,Mar 8 1996 (28),179 m,Attacking Midfield
Niklas Beste,Jan 4 1999 (26),175 m,Left Winger
Vincenzo Grifo,Apr 7 1993 (31),180 m,Left Winger
Florent Muslija,Jul 6 1998 (26),172 m,Left Winger
Ritsu Doan,Jun 16 1998 (26),172 m,Right Winger
Eren Dinkçi,Dec 13 2001 (23),188 m,Right Winger
Maximilian Philipp,Mar 1 1994 (30),183 m,Second Striker
Junior Adamu,Jun 6 2001 (23),183 m,Centre-Forward
Michael Gregoritsch,Apr 18 1994 (30),193 m,Centre-Forward
Lucas Höler,Jul 10 1994 (30),184 m,Centre-Forward
Nediljko Labrovic,Oct 10 1999 (25),196 m,Goalkeeper
Finn Dahmen,Mar 27 1998 (26),186 m,Goalkeeper
Daniel Klein,Mar 13 2001 (23),194 m,Goalkeeper
Chrislain Matsima,May 15 2002 (22),193 m,Centre-Back
Keven Schlotterbeck,Apr 28 1997 (27),188 m,Centre-Back
Cédric Zesiger,Jun 24 1998 (26),194 m,Centre-Back
Jeffrey Gouweleeuw,Jul 10 1991 (33),188 m,Centre-Back
Reece Oxford,Dec 16 1998 (26),190 m,Centre-Back
Noahkai Banks,Dec 1 2006 (18),193 m,Centre-Back
Dimitrios Giannoulis,Oct 17 1995 (29),178 m,Left-Back
Mads Pedersen,Sep 1 1996 (28),178 m,Left-Back
Marius Wolf,May 27 1995 (29),188 m,Right-Back
Robert Gumny,Jun 4 1998 (26),182 m,Right-Back
Henri Koudossou,Sep 3 1999 (25),180 m,Right-Back
Kristijan Jakic,May 14 1997 (27),184 m,Defensive Midfield
Mahmut Kücüksahin,Apr 7 2004 (20),182 m,Defensive Midfield
Frank Onyeka,Jan 1 1998 (27),183 m,Central Midfield
Arne Maier,Jan 8 1999 (26),186 m,Central Midfield
Elvis Rexhbecaj,Nov 1 1997 (27),182 m,Central Midfield
Alexis Claude-Maurice,Jun 6 1998 (26),176 m,Attacking Midfield
Fredrik Jensen,Sep 9 1997 (27),183 m,Attacking Midfield
Mert Kömür,Jul 17 2005 (19),183 m,Attacking Midfield
Yusuf Kabadayi,Feb 2 2004 (21),186 m,Left Winger
Mergim Berisha,May 11 1998 (26),188 m,Centre-Forward
Phillip Tietz,Jul 9 1997 (27),190 m,Centre-Forward
Samuel Essende,Jan 23 1998 (27),193 m,Centre-Forward
Steve Mounié,Sep 29 1994 (30),189 m,Centre-Forward
Kamil Grabara,Jan 8 1999 (26),195 m,Goalkeeper
Marius Müller,Jul 12 1993 (31),192 m,Goalkeeper
Pavao Pervan,Nov 13 1987 (37),194 m,Goalkeeper
Niklas Klinger,Oct 13 1995 (29),187 m,Goalkeeper
Konstantinos Koulierakis,Nov 28 2003 (21),188 m,Centre-Back
Sebastiaan Bornauw,Mar 22 1999 (25),191 m,Centre-Back
Denis Vavro,Apr 10 1996 (28),189 m,Centre-Back
Mathys Angély,Apr 21 2007 (17),190 m,Centre-Back
David Odogu,Jun 3 2006 (18),191 m,Centre-Back
Joakim Maehle,May 20 1997 (27),185 m,Left-Back
Rogério,Jan 13 1998 (27),178 m,Left-Back
Mads Roerslev,Jun 24 1999 (25),184 m,Right-Back
Kilian Fischer,Oct 12 2000 (24),182 m,Right-Back
Aster Vranckx,Oct 4 2002 (22),183 m,Central Midfield
Mattias Svanberg,Jan 5 1999 (26),185 m,Central Midfield
Maximilian Arnold,May 27 1994 (30),184 m,Central Midfield
Yannick Gerhardt,Mar 13 1994 (30),184 m,Central Midfield
Kevin Paredes,May 7 2003 (21),175 m,Left Midfield
Lovro Majer,Jan 17 1998 (27),178 m,Attacking Midfield
Bence Dárdai,Jan 24 2006 (19),189 m,Attacking Midfield
Bennit Bröger,Jul 1 2006 (18),181 m,Attacking Midfield
Jakub Kaminski,Jun 5 2002 (22),179 m,Left Winger
Andreas Skov Olsen,Dec 29 1999 (25),187 m,Right Winger
Patrick Wimmer,May 30 2001 (23),182 m,Right Winger
Mohamed Amoura,May 9 2000 (24),170 m,Centre-Forward
Jonas Wind,Feb 7 1999 (26),190 m,Centre-Forward
Tiago Tomás,Jun 16 2002 (22),180 m,Centre-Forward
