player_name,date_of_birth/age,height,position
Jordan Thorniley,Nov 24 1996 (28),181 m,Centre-Back
Greg Leigh,Sep 30 1994 (30),181 m,Left-Back
Joe Bennett,Mar 28 1990 (35),178 m,Left-Back
Hidde ter Avest,May 20 1997 (27),182 m,Right-Back
Peter Kioso,Aug 15 1999 (25),183 m,Right-Back
Sam Long,Jan 16 1995 (30),180 m,Right-Back
Will Vaulks,Sep 13 1993 (31),180 m,Defensive Midfield
Alex Matos,Oct 3 2004 (20),175 m,Central Midfield
Cameron Brannagan,May 9 1996 (28),180 m,Central Midfield
Idris El Mizouni,Sep 26 2000 (24),185 m,Central Midfield
Josh McEachran,Mar 1 1993 (32),178 m,Central Midfield
Rúben Rodrigues,Aug 2 1996 (28),181 m,Attacking Midfield
Marselino Ferdinan,Sep 9 2004 (20),178 m,Attacking Midfield
Siriki Dembélé,Sep 7 1996 (28),173 m,Left Winger
Przemyslaw Placheta,Mar 23 1998 (27),178 m,Left Winger
Tyler Goodrham,Aug 7 2003 (21),170 m,Right Winger
Matt Phillips,Mar 13 1991 (34),183 m,Right Winger
Stanley Mills,Oct 25 2003 (21),180 m,Right Winger
Ole Romeny,Jun 20 2000 (24),185 m,Centre-Forward
Mark Harris,Dec 29 1998 (26),182 m,Centre-Forward
Tom Bradshaw,Jul 27 1992 (32),178 m,Centre-Forward
Max Woltman,Aug 20 2003 (21),,Centre-Forward
Conor Hazard,Mar 5 1998 (27),198 m,Goalkeeper
Daniel Grimshaw,Jan 16 1998 (27),185 m,Goalkeeper
Zak Baker,Nov 19 2004 (20),187 m,Goalkeeper
Maksym Taloverov,Jun 28 2000 (24),196 m,Centre-Back
Julio Pleguezuelo,Jan 26 1997 (28),180 m,Centre-Back
Nikola Katic,Oct 10 1996 (28),194 m,Centre-Back
Kornél Szűcs,Sep 24 2001 (23),190 m,Centre-Back
Brendan Galloway,Mar 17 1996 (29),186 m,Centre-Back
Victor Pálsson,Apr 30 1991 (33),186 m,Centre-Back
Tymoteusz Puchacz,Jan 23 1999 (26),183 m,Left-Back
Nathanael Ogbeta,Apr 28 2001 (23),184 m,Left-Back
Saxon Earley,Oct 11 2002 (22),177 m,Left-Back
Bali Mumba,Oct 8 2001 (23),168 m,Right-Back
Matthew Sorinola,Feb 19 2001 (24),173 m,Right-Back
Joe Edwards,Oct 31 1990 (34),173 m,Right-Back
Adam Randell,Oct 1 2000 (24),175 m,Defensive Midfield
Jordan Houghton,Nov 5 1995 (29),183 m,Defensive Midfield
Malachi Boateng,Jul 5 2002 (22),182 m,Defensive Midfield
Darko Gyabi,Feb 18 2004 (21),196 m,Central Midfield
Callum Wright,May 2 2000 (24),182 m,Central Midfield
Michael Baidoo,May 14 1999 (25),174 m,Attacking Midfield
Rami Al Hajj,Sep 17 2001 (23),180 m,Attacking Midfield
Caleb Roberts,Oct 24 2005 (19),,Attacking Midfield
Freddie Issaka,Jul 28 2006 (18),177 m,Left Winger
Mustapha Bundu,Feb 28 1997 (28),189 m,Right Winger
Michael Obafemi,Jul 6 2000 (24),170 m,Centre-Forward
Ryan Hardie,Mar 17 1997 (28),188 m,Centre-Forward
Muhamed Tijani,Jul 26 2000 (24),191 m,Centre-Forward
Nicolas Schmid,Feb 22 1997 (28),195 m,Goalkeeper
Ben Killip,Nov 24 1995 (29),188 m,Goalkeeper
Jordan Archer,Apr 12 1993 (31),190 m,Goalkeeper
Toby Steward,Feb 12 2005 (20),193 m,Goalkeeper
Rob Atkinson,Jul 13 1998 (26),193 m,Centre-Back
Hayden Matthews,Jun 19 2004 (20),195 m,Centre-Back
Conor Shaughnessy,Jun 30 1996 (28),191 m,Centre-Back
Ibane Bowat,Sep 15 2002 (22),190 m,Centre-Back
Ryley Towler,May 6 2002 (22),187 m,Centre-Back
Regan Poole,Jun 18 1998 (26),180 m,Centre-Back
Milosevic,Jan 30 1992 (33),193 m,Centre-Back
Jacob Farrell,Nov 19 2002 (22),180 m,Left-Back
Cohen Bramall,Apr 2 1996 (28),178 m,Left-Back
Connor Ogilvie,Feb 14 1996 (29),184 m,Left-Back
Jordan Williams,Oct 22 1999 (25),179 m,Right-Back
Terry Devlin,Nov 6 2003 (21),180 m,Right-Back
Zak Swanson,Sep 28 2000 (24),189 m,Right-Back
Isaac Hayden,Mar 22 1995 (30),187 m,Defensive Midfield
Abdoulaye Kamara,Nov 6 2004 (20),185 m,Defensive Midfield
Freddie Potts,Sep 12 2003 (21),183 m,Defensive Midfield
Andre Dozzell,May 2 1999 (25),178 m,Central Midfield
Marlon Pack,Mar 25 1991 (34),188 m,Central Midfield
Matt Ritchie,Sep 10 1989 (35),173 m,Right Midfield
Adil Aouchiche,Jul 15 2002 (22),181 m,Attacking Midfield
Josh Murphy,Feb 24 1995 (30),173 m,Left Winger
Kaide Gordon,Oct 5 2004 (20),173 m,Right Winger
Paddy Lane,Feb 18 2001 (24),177 m,Right Winger
Harvey Blair,Sep 14 2003 (21),,Right Winger
Callum Lang,Sep 8 1998 (26),183 m,Second Striker
Colby Bishop,Nov 4 1996 (28),180 m,Centre-Forward
Kusini Yengi,Jan 15 1999 (26),190 m,Centre-Forward
Mark O'Mahony,Jan 14 2005 (20),182 m,Centre-Forward
Christian Saydee,May 10 2002 (22),184 m,Centre-Forward
Thomas Waddingham,Apr 5 2005 (19),185 m,Centre-Forward
Freddie Woodman,Mar 4 1997 (28),188 m,Goalkeeper
David Cornell,Mar 28 1991 (34),186 m,Goalkeeper
James Pradic,Feb 7 2005 (20),185 m,Goalkeeper
Jordan Storey,Sep 2 1997 (27),188 m,Centre-Back
Ryan Porteous,Mar 25 1999 (26),188 m,Centre-Back
Liam Lindsay,Oct 12 1995 (29),191 m,Centre-Back
Lewis Gibson,Jul 19 2000 (24),185 m,Centre-Back
Jack Whatmough,Aug 19 1996 (28),184 m,Centre-Back
Patrick Bauer,Oct 28 1992 (32),192 m,Centre-Back
Andrew Hughes,Jun 5 1992 (32),188 m,Left-Back
Pasiek,Oct 8 2005 (19),,Left-Back
Jayden Meghoma,Jun 28 2006 (18),176 m,Left-Back
Kaine Kesler-Hayden,Oct 23 2002 (22),175 m,Right-Back
Brad Potts,Jul 3 1994 (30),188 m,Right-Back
Josh Seary,Sep 10 2004 (20),180 m,Right-Back
Ben Whiteman,Jun 17 1996 (28),185 m,Central Midfield
Ali McCann,Dec 4 1999 (25),176 m,Central Midfield
Stefán Teitur Thórdarson,Oct 16 1998 (26),189 m,Central Midfield
Ryan Ledson,Aug 19 1997 (27),178 m,Central Midfield
Taylor,Feb 15 2005 (20),173 m,Central Midfield
Robbie Brady,Jan 14 1992 (33),176 m,Left Midfield
Sam Greenwood,Jan 26 2002 (23),180 m,Attacking Midfield
Mads Frøkjaer-Jensen,Jul 29 1999 (25),186 m,Attacking Midfield
Emil Riis,Jun 24 1998 (26),190 m,Centre-Forward
Milutin Osmajic,Jul 25 1999 (25),186 m,Centre-Forward
Will Keane,Jan 11 1993 (32),188 m,Centre-Forward
Ched Evans,Dec 28 1988 (36),183 m,Centre-Forward
Paul Nardi,May 18 1994 (30),188 m,Goalkeeper
Joe Walsh,Apr 1 2002 (22),193 m,Goalkeeper
Nathan Shepperd,Sep 10 2000 (24),187 m,Goalkeeper
Ronnie Edwards,Mar 28 2003 (22),185 m,Centre-Back
Jimmy Dunne,Oct 19 1997 (27),191 m,Centre-Back
Jake Clarke-Salter,Sep 22 1997 (27),188 m,Centre-Back
Steve Cook,Apr 19 1991 (33),185 m,Centre-Back
Liam Morrison,Apr 7 2003 (21),183 m,Centre-Back
,Feb 28 2006 (19),183 m,Left-Back
Kenneth Paal,Jun 24 1997 (27),174 m,Left-Back
Morgan Fox,Sep 21 1993 (31),185 m,Left-Back
Harrison Ashby,Nov 14 2001 (23),179 m,Right-Back
Sam Field,May 8 1998 (26),191 m,Defensive Midfield
Jack Colback,Oct 24 1989 (35),177 m,Defensive Midfield
Nicolas Madsen,Mar 17 2000 (25),192 m,Central Midfield
Jonathan Varane,Sep 9 2001 (23),190 m,Central Midfield
Kieran Morgan,Mar 17 2006 (19),185 m,Central Midfield
