player_name,season,injury,from_date,to_date,days_out,matches_missed
Alexander Nübel,24/25,cold,"Jan 27, 2025","Jan 30, 2025",4 days,1
Alexander Nübel,23/24,muscular problems,"Apr 7, 2024","Apr 19, 2024",13 days,1
Alexander Nübel,23/24,Hip problems,"Feb 7, 2024","Feb 26, 2024",20 days,3
Alexander Nübel,21/22,Head injury,"Jan 27, 2022","Feb 1, 2022",6 days,1
Alexander Nübel,21/22,stomach problems,"Aug 16, 2021","Aug 20, 2021",5 days,1
Alexander Nübel,20/21,Syndesmosis ligament tear,"Jan 28, 2021","Mar 11, 2021",43 days,9
Dennis Seimen,23/24,Back problems,"Sep 15, 2023","Nov 15, 2023",62 days,14
Dennis Seimen,22/23,Ill,"Mar 1, 2023","Mar 6, 2023",6 days,1
Fabian Bredlow,23/24,Ill,"Mar 27, 2024","Apr 3, 2024",8 days,1
Fabian Bredlow,23/24,Hip bruise,"Oct 17, 2023","Nov 2, 2023",17 days,3
Fabian Bredlow,23/24,Hip problems,"Aug 10, 2023","Aug 20, 2023",11 days,2
Fabian Bredlow,22/23,Internal ligament strain,"May 29, 2023","Jul 3, 2023",36 days,2
Fabian Bredlow,22/23,cold,"Oct 20, 2022","Oct 24, 2022",5 days,1
Fabian Bredlow,21/22,Thigh problems,"Dec 2, 2021","Dec 30, 2021",29 days,4
Fabian Bredlow,21/22,Corona virus,"Oct 7, 2021","Oct 18, 2021",12 days,1
Stefan Drljaca,23/24,Torn muscle bundle,"Dec 20, 2023","Apr 14, 2024",117 days,15
Jeff Chabot,24/25,Muscle injury,"Oct 27, 2024","Nov 4, 2024",9 days,2
Jeff Chabot,22/23,Ankle injury,"Aug 29, 2022","Oct 31, 2022",64 days,13
Jeff Chabot,21/22,Corona virus,"Feb 7, 2022","Feb 17, 2022",11 days,1
Jeff Chabot,20/21,Ankle problems,"May 10, 2021","May 24, 2021",15 days,3
Jeff Chabot,19/20,Ankle problems,"Jul 27, 2020","Jul 30, 2020",4 days,1
Jeff Chabot,17/18,Ligament stretching,"May 3, 2018","May 28, 2018",26 days,5
Jeff Chabot,17/18,Shoulder injury,"Feb 15, 2018","Feb 19, 2018",5 days,1
Jeff Chabot,17/18,Outer ligament tear,"Jul 6, 2017","Jul 17, 2017",12 days,1
Ameen Al-Dakhil,24/25,Strain in the thigh and gluteal muscles,"Feb 2, 2025",,25 days,4
Ameen Al-Dakhil,24/25,Fever,"Nov 19, 2024","Dec 8, 2024",20 days,5
Ameen Al-Dakhil,24/25,Ill,"Sep 25, 2024","Oct 7, 2024",13 days,3
Ameen Al-Dakhil,23/24,Muscle injury,"Feb 8, 2024","Sep 23, 2024",229 days,25
Dan-Axel Zagadou,24/25,Outer ligament problems,"Sep 25, 2024",,155 days,29
Dan-Axel Zagadou,24/25,Fitness,"Jul 1, 2024","Sep 2, 2024",64 days,4
Dan-Axel Zagadou,23/24,Cruciate ligament tear,"Jan 31, 2024","Jun 30, 2024",152 days,16
Dan-Axel Zagadou,22/23,Foot injury,"May 23, 2023","May 30, 2023",8 days,1
Dan-Axel Zagadou,22/23,Torn ankle ligaments,"Jan 5, 2023","Feb 3, 2023",30 days,4
Dan-Axel Zagadou,22/23,influenza,"Nov 3, 2022","Nov 7, 2022",5 days,1
Dan-Axel Zagadou,22/23,Ill,"Oct 17, 2022","Oct 20, 2022",4 days,1
Dan-Axel Zagadou,21/22,Torn muscle fiber,"Feb 21, 2022","Mar 17, 2022",25 days,4
Dan-Axel Zagadou,21/22,Corona virus,"Dec 30, 2021","Jan 17, 2022",19 days,2
Dan-Axel Zagadou,20/21,Knee surgery,"Mar 18, 2021","Sep 30, 2021",197 days,23
Dan-Axel Zagadou,20/21,Torn muscle fiber,"Jan 14, 2021","Feb 22, 2021",40 days,9
Dan-Axel Zagadou,20/21,Torn lateral knee ligament,"Aug 13, 2020","Nov 30, 2020",110 days,15
Dan-Axel Zagadou,19/20,Torn lateral knee ligament,"Apr 13, 2020","Jun 18, 2020",67 days,7
