player_name,date_of_birth/age,height,position
Levi Smans,Mar 25 2003 (21),175 m,Attacking Midfield
Melle Witteveen,Jun 24 2003 (21),174 m,Attacking Midfield
Ilias Sebaoui,Oct 4 2001 (23),180 m,Left Winger
Jacob Trenskow,Nov 26 2000 (24),178 m,Right Winger
Alireza Jahanbakhsh,Aug 11 1993 (31),181 m,Right Winger
Ché Nunnely,Feb 4 1999 (26),170 m,Right Winger
Eser Gürbüz,Mar 6 2007 (17),,Right Winger
Milos Lukovic,Nov 18 2005 (19),184 m,Centre-Forward
Ion Nicolaescu,Sep 7 1998 (26),184 m,Centre-Forward
Dimitris Rallis,Mar 26 2005 (19),189 m,Centre-Forward
Fabian de Keijzer,May 10 2000 (24),193 m,Goalkeeper
Robin Mantel,Nov 15 2000 (24),198 m,Goalkeeper
Timo Jansink,Jun 16 2003 (21),203 m,Goalkeeper
Justin Hoogma,Jun 11 1998 (26),190 m,Centre-Back
Ivan Mesik,Jun 1 2001 (23),187 m,Centre-Back
Stijn Bultman,Jan 29 2005 (20),187 m,Centre-Back
Damon Mirani,May 13 1996 (28),183 m,Centre-Back
Sava-Arangel Cestic,Feb 19 2001 (24),192 m,Centre-Back
Jop Tijink,Jan 30 2005 (20),188 m,Centre-Back
Lorenzo Milani,May 22 2001 (23),178 m,Left-Back
Mats Rots,Mar 11 2006 (18),185 m,Left-Back
Mimeirhel Benita,Nov 17 2003 (21),180 m,Right-Back
Jannes Wieckhoff,Aug 2 2000 (24),188 m,Right-Back
Kelvin Leerdam,Jun 24 1990 (34),178 m,Right-Back
Brian De Keersmaecker,May 6 2000 (24),182 m,Defensive Midfield
Daniël van Kaam,Jun 23 2000 (24),175 m,Defensive Midfield
Sem Scheperman,Jun 24 2002 (22),188 m,Defensive Midfield
Jan Zamburek,Feb 13 2001 (24),182 m,Central Midfield
Jordy Bruijn,Jul 23 1996 (28),171 m,Attacking Midfield
Thomas Bruns,Jan 7 1992 (33),177 m,Attacking Midfield
Mario Engels,Oct 22 1993 (31),184 m,Left Winger
Suf Podgoreanu,Jan 20 2002 (23),193 m,Left Winger
Bryan Limbombe,May 14 2001 (23),172 m,Left Winger
Giandro Sambo,Aug 28 2006 (18),181 m,Left Winger
Nikolai Laursen,Feb 19 1998 (27),187 m,Right Winger
Juho Talvitie,Mar 25 2005 (19),186 m,Right Winger
Luka Kulenovic,Sep 29 1999 (25),190 m,Centre-Forward
Jizz Hornkamp,Mar 7 1998 (26),182 m,Centre-Forward
Diego van Oorschot,Oct 2 2005 (19),173 m,Centre-Forward
Daniel Bielica,Apr 30 1999 (25),191 m,Goalkeeper
Roy Kortsmit,Aug 26 1992 (32),190 m,Goalkeeper
Kostas Lamprou,Sep 18 1991 (33),180 m,Goalkeeper
Aron van Lare,Jan 5 2003 (22),195 m,Goalkeeper
Leo Greiml,Jul 3 2001 (23),187 m,Centre-Back
Jan Van den Bergh,Oct 2 1994 (30),188 m,Centre-Back
Terence Kongolo,Feb 14 1994 (31),188 m,Centre-Back
Cherrion Valerius,Sep 22 2005 (19),192 m,Centre-Back
Enes Mahmutovic,May 22 1997 (27),190 m,Centre-Back
Daan van Reeuwijk,May 9 2007 (17),188 m,Centre-Back
Boy Kemper,Jun 21 1999 (25),185 m,Left-Back
Maxime Busi,Oct 14 1999 (25),182 m,Right-Back
Boyd Lucassen,Jul 1 1998 (26),173 m,Right-Back
